Alameda,1457426,0.9,13685,1443741,104291,7.2,354996,24.4,10.6,154857,50.6,828785,199982,10527,355759,11647,50726,312426,546221,56.9,13.7,0.7,24.4,0.8,3.5,21.4,37.5,20924,9271,111,50.8,27.2,36.8,82.4,34.9,248558,30.8,559691,19508,3.6,54.7,303100,37.6,523366,2.71,26680,57659,11.1,62332,42956,745890,33090,4.4,895983,-4016,120047,52516563,58613,37012,618386,-5.7,105191,2050993,120293,8.0,1.2,20.7,8.8,0.0,32.5,29632054,41553292,16512174,11279,6276,1169179,218094,10765668,7398,737.57,1956.3
Contra Costa,1024319,8.0,75503,948816,66485,6.5,255392,24.9,11.5,118122,50.9,741514,97676,7694,137310,4747,35378,224134,535739,72.4,9.5,0.8,13.4,0.5,3.5,21.9,52.3,13281,6791,51,53.2,19.0,26.0,86.9,35.0,147572,34.4,389100,34523,9.7,69.3,267800,24.0,344129,2.72,30615,65459,7.8,49475,48618,518535,22190,4.3,501710,24064,49880,28348251,56503,22878,332033,5.2,74211,1184301,82564,0.0,1.4,12.0,8.9,0.3,33.9,11515876,18132332,10108546,10225,4222,1112543,126338,4802707,4759,719.95,1317.8
Marin,248742,0.6,1453,247289,13916,5.6,49251,19.8,14.9,36968,50.2,219856,7496,1404,13317,459,6210,32615,189414,88.4,3.0,0.6,5.4,0.2,2.5,13.1,76.1,2792,1722,4,54.8,16.6,19.5,91.2,51.3,34758,32.3,107986,2996,2.9,63.6,514600,29.3,100650,2.34,44962,67731,7.0,18751,75884,132235,4691,3.5,185429,6838,14415,9634256,51957,10023,99323,-6.5,34532,524076,41626,0.6,0.8,4.6,5.0,0.0,30.9,509564,2960895,3731456,15095,582,157526,150645,1269972,5162,519.80,475.6
Monterey,410206,2.1,8442,401762,35627,8.7,114711,28.0,10.0,40852,48.0,349527,14984,5335,27244,2219,10897,211382,148941,85.2,3.7,1.3,6.6,0.5,2.7,51.5,36.3,7395,2372,32,48.8,29.0,47.3,68.4,22.5,69898,23.2,138732,7023,5.3,54.6,265800,26.1,121236,3.14,20165,46971,12.9,14752,35775,204705,14350,7.0,232923,10449,35394,10956802,47040,8912,108191,3.0,23776,1033917,29289,0.0,0.0,7.1,16.9,0.0,28.6,1896237,6571703,4063394,9873,865,266493,1260613,2312392,5577,3321.95,120.9
Napa,133522,7.4,9214,124279,8089,6.1,30301,22.7,14.2,18977,49.7,118123,2702,1285,7858,449,3105,37650,82047,88.5,2.0,1.0,5.9,0.3,2.3,28.2,61.4,1603,1264,5,53.0,18.1,25.2,80.4,26.4,21557,24.3,52760,4192,8.6,65.1,251300,18.2,45402,2.62,26395,53184,7.8,5787,43669,72560,2820,3.9,89886,5919,9919,4211801,46857,4031,54774,10.6,9939,350932,12421,1.5,0.0,0.0,5.8,0.0,29.9,3580927,1208037,1390394,10696,507,115586,237548,749863,5666,753.73,164.8
San Benito,55842,4.9,2608,53234,4412,7.9,16714,29.9,8.4,4699,49.2,50881,718,851,1892,180,1320,28972,23550,91.1,1.3,1.5,3.4,0.3,2.4,51.9,42.2,887,251,2,49.3,18.8,37.8,74.9,17.1,8266,33.7,17824,1325,8.0,68.2,284000,11.9,15885,3.32,20932,57595,8.8,1728,30862,25018,1762,7.0,23687,2083,2976,926908,39132,1005,11987,11.2,3240,46459,3867,0.0,0.0,0.0,0.0,0.0,0.0,516436,0,385890,6930,30,7162,578351,172960,3075,1389.06,38.3
San Francisco,744041,-4.2,-32692,776733,40905,5.5,110485,14.8,14.8,110338,49.1,424702,53234,3842,238783,3830,19650,104575,331587,57.1,7.2,0.5,32.1,0.5,2.6,14.1,44.6,8581,5908,31,54.2,36.8,45.7,81.2,45.0,150131,30.7,356470,9943,2.9,35.0,396400,67.7,329700,2.30,34556,51815,11.6,46398,62614,421474,17808,4.2,698616,-69371,97736,52804572,75585,29747,484552,-12.8,75983,3546865,91873,2.9,0.5,21.4,5.8,0.3,31.0,3589122,8896586,8883316,11658,2398,239780,0,7606654,10221,46.69,16526.2
San Joaquin,673170,19.4,109572,563598,53904,8.0,194067,28.8,9.7,65317,49.9,489484,54170,8759,95543,3388,21826,240636,268289,72.7,8.0,1.3,14.2,0.5,3.2,35.7,39.9,11011,4433,74,51.2,19.5,33.7,71.2,14.5,108656,29.2,223441,34281,18.1,60.4,142400,20.9,181629,3.00,17365,44814,14.0,17332,26071,287754,21360,7.4,286411,26919,38490,11811235,41239,11211,172815,11.9,31199,571806,34534,3.1,1.0,13.9,13.6,0.0,28.3,6481720,8772773,5473782,8936,3652,822210,812629,2799182,4307,1399.28,402.9
San Mateo,705499,-0.2,-1664,707161,50213,7.1,163742,23.2,13.0,91765,50.3,480809,23498,3455,166297,9775,21665,162149,329365,68.2,3.3,0.5,23.6,1.4,3.1,23.0,46.7,10090,4573,36,56.6,32.3,41.5,85.3,39.0,107440,27.0,266353,5775,2.2,61.4,469200,32.3,254103,2.74,36045,65425,6.6,41518,59213,368207,13598,3.7,462527,-41144,31744,33466520,72356,19836,375834,0.8,57233,1471499,68225,2.3,0.0,17.8,0.0,0.5,28.1,8304922,16797756,9017029,12858,1005,328133,41530,3491778,4994,449.07,1575.0
Santa Clara,1731281,2.9,48696,1682585,133236,7.7,431737,24.9,10.5,181904,48.9,1090902,49157,13002,527282,7543,43395,445481,676534,63.0,2.8,0.8,30.5,0.4,2.5,25.7,39.1,26540,8472,119,51.2,34.1,45.4,83.4,40.5,254729,26.1,609749,30420,5.3,59.8,446400,31.6,565863,2.92,32795,68842,8.4,87154,51112,834317,37258,4.5,1117157,-165514,95955,88794269,79482,44584,851831,-14.8,117138,3036675,134573,2.1,1.0,22.3,9.9,0.0,27.8,47110263,0,20035462,11964,6120,1230874,320851,11900349,7062,1290.69,1303.3
