"year","month","cpi"
1977,12,61.3
1978,2,62
1978,4,63.2
1978,6,64.7
1978,8,65.6
1978,10,66.4
1978,12,66.1
1979,2,67.5
1979,4,69.5
1979,6,71.1
1979,8,72.8
1979,10,74.1
1979,12,76.5
1980,2,79.5
1980,4,81.4
1980,6,83.5
1980,8,83.1
1980,10,84.4
1980,12,86.3
1981,2,87.5
1981,4,89.4
1981,6,90.5
1981,8,93.5
1981,10,95.9
1981,12,95.7
1982,2,96.8
1982,4,97.2
1982,6,98.6
1982,8,98.3
1982,10,98.3
1982,12,96.2
1983,2,96.8
1983,4,97.6
1983,6,99
1983,8,99.8
1983,10,100.3
1983,12,100.6
1984,2,101.6
1984,4,102.5
1984,6,103.4
1984,8,104.4
1984,10,105.6
1984,12,105.5
1985,2,106.4
1985,4,107.1
1985,6,108
1985,8,109.2
1985,10,109.8
1985,12,110
1986,2,110.3
1986,4,110.1
1986,6,111.5
1986,8,111.6
1986,10,113
1986,12,112
1987,1,112.6
1987,2,113.6
1987,3,114.1
1987,4,114.8
1987,5,115.3
1987,6,115.2
1987,7,115.4
1987,8,116
1987,9,116.7
1987,10,117.1
1987,11,117
1987,12,117.2
1988,1,117.9
1988,2,118.2
1988,3,118.9
1988,4,119.2
1988,5,120.1
1988,6,120.2
1988,7,120.5
1988,8,121.1
1988,9,121.7
1988,10,122.2
1988,11,122.3
1988,12,122.5
1989,1,123.3
1989,2,123.7
1989,3,124.7
1989,4,125.3
1989,5,126.2
1989,6,126.3
1989,7,126.9
1989,8,127.1
1989,9,127.5
1989,10,127.8
1989,11,127.8
1989,12,128.3
1990,1,129.5
1990,2,130.6
1990,3,131.5
1990,4,131.5
1990,5,132
1990,6,132.6
1990,7,133.1
1990,8,133.9
1990,9,135.3
1990,10,136
1990,11,136.2
1990,12,136.7
1991,1,137.8
1991,2,137.5
1991,3,137.4
1991,4,137.8
1991,5,138.1
1991,6,138.7
1991,7,139.2
1991,8,139.7
1991,9,140.4
1991,10,140.5
1991,11,140.9
1991,12,140.8
1992,1,141.8
1992,2,142.4
1992,3,143
1992,4,143.2
1992,5,143.5
1992,6,143.7
1992,7,143.9
1992,8,144.3
1992,9,144.9
1992,10,145.7
1992,11,145.7
1992,12,145.8
1993,1,146.7
1993,2,147.2
1993,3,147.2
1993,4,147.7
1993,5,148.1
1993,6,147.8
1993,7,147.7
1993,8,147.8
1993,9,148.2
1993,10,148.7
1993,11,149.3
1993,12,149.5
1994,1,149.7
1994,2,149.9
1994,3,150.5
1994,4,150.4
1994,5,150.4
1994,6,150.4
1994,7,150.9
1994,8,151.3
1994,9,151.7
1994,10,152.1
1994,11,151.9
1994,12,152.2
1995,1,152.9
1995,2,153.1
1995,3,153.6
1995,4,154
1995,5,154.2
1995,6,154.1
1995,7,154
1995,8,154.1
1995,9,154.5
1995,10,154.9
1995,11,154.4
1995,12,154.4
1996,1,155.4
1996,2,155.9
1996,3,156.6
1996,4,157.3
1996,5,157.6
1996,6,157.3
1996,7,158
1996,8,158.1
1996,9,158.7
1996,10,159.2
1996,11,159.1
